date,value
2001-07-18,803.62
2001-07-19,797.31
2001-07-20,790.71
2001-07-23,785.99
2001-07-24,780.35
2001-07-25,771.47
2001-07-26,764.6
2001-07-27,764.31
2001-07-30,771
2001-07-31,782.01
2001-08-01,777.82
2001-08-02,782.57
2001-08-03,787.71
2001-08-06,788.49
2001-08-07,784.22
2001-08-08,781.62
2001-08-09,779.98
2001-08-10,776.29
2001-08-13,771.79
2001-08-14,780.79
2001-08-16,784.15
2001-08-17,777.02
2001-08-20,775.26
2001-08-21,776.14
2001-08-23,777.76
2001-08-24,781.01
2001-08-27,786.18
2001-08-28,784.89
2001-08-29,782.67
2001-08-30,782.03
2001-08-31,769.77
2001-09-03,764.95
2001-09-04,769.22
2001-09-05,764.15
2001-09-06,758.11
2001-09-07,760.34
2001-09-10,756.47
2001-09-11,754.43
2001-09-12,725.76
2001-09-13,716.09
2001-09-14,674.6
2001-09-17,630.15
2001-09-18,650.46
2001-09-19,653.14
2001-09-20,646.24
2001-09-21,618.41
2001-09-24,635.12
2001-09-25,627.12
2001-09-26,640.78
2001-09-27,643.79
2001-09-28,661.21
2001-10-01,656.62
2001-10-03,644.22
2001-10-04,655.63
2001-10-05,657.56
2001-10-08,647.57
2001-10-09,654.45
2001-10-10,672.28
2001-10-11,682.65
2001-10-12,686.01
2001-10-15,686.56
2001-10-16,696.53
2001-10-17,709.58
2001-10-18,697.3
2001-10-19,703.28
2001-10-22,707.07
2001-10-23,718.53
2001-10-24,717.12
2001-10-25,713.05
2001-10-29,712.13
2001-10-30,700.04
2001-10-31,705.45
